#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","QD23","SAMN12559024","PRJNA559783","GCA_011045595.1","Complete",5.80373,57,"chromosome:NZ_CP042858.1/CP042858.1",,1,5589,"2020-03-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/045/595/GCA_011045595.1_ASM1104559v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/045/595/GCF_011045595.1_ASM1104559v1"
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","P1428","SAMN05231874","PRJNA325419","GCA_002761315.1","Complete",5.63329,57.1,"chromosome:NZ_CP017994.1/CP017994.1",,1,5054,"2017-11-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/761/315/GCA_002761315.1_ASM276131v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/761/315/GCF_002761315.1_ASM276131v1"
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","INF058-sc-2279968","SAMEA3357041","PRJNA646837","GCA_904863155.1","Complete",5.88054,56.8958,"chromosome 1:LR890215.1; plasmid 2:LR890216.1",,2,0,"2020-10-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/904/863/155/GCA_904863155.1_INF058",
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","KP18-3-8","SAMN13978114","PRJNA604666","GCA_010450855.1","Complete",5.54799,57.3,"chromosome:NZ_CP048430.1/CP048430.1",,1,5285,"2020-02-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/450/855/GCA_010450855.1_ASM1045085v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/450/855/GCF_010450855.1_ASM1045085v1"
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","YH43","SAMD00039249","PRJDB4172","GCA_001548315.1","Complete",5.52032,57.3,"chromosome Unknown:NZ_AP014950.1/AP014950.1",,1,5119,"2015-09-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/548/315/GCA_001548315.1_ASM154831v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/548/315/GCF_001548315.1_ASM154831v1"
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","KP18-2079","SAMN14132403","PRJNA607401","GCA_011022255.1","Complete",5.51882,57.3,"chromosome:NZ_CP048933.1/CP048933.1",,1,5388,"2020-02-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/022/255/GCA_011022255.1_ASM1102225v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/022/255/GCF_011022255.1_ASM1102225v1"
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","721005","SAMN07484315","PRJNA397713","GCA_002278055.1","Complete",5.47586,57.4,"chromosome:NZ_CP022997.1/CP022997.1",,1,5186,"2017-08-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/278/055/GCA_002278055.1_ASM227805v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/278/055/GCF_002278055.1_ASM227805v1"
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","C2244","SAMN18160617","PRJNA707017","GCA_017351975.1","Complete",5.46135,57.3,"chromosome:NZ_CP071464.1/CP071464.1",,1,5175,"2021-03-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/351/975/GCA_017351975.1_ASM1735197v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/351/975/GCF_017351975.1_ASM1735197v1"
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","KPHS1249","SAMN08582315","PRJNA435632","GCA_002970895.1","Complete",5.45865,57.4,"chromosome:NZ_CP027189.1/CP027189.1",,1,5040,"2018-03-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/970/895/GCA_002970895.1_ASM297089v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/970/895/GCF_002970895.1_ASM297089v1"
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","911021","SAMN07508215","PRJNA398333","GCA_002269295.1","Complete",5.45636,57.5,"chromosome:NZ_CP022882.1/CP022882.1",,1,5153,"2017-08-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/269/295/GCA_002269295.1_ASM226929v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/269/295/GCF_002269295.1_ASM226929v1"
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","RIVM_C015043","SAMN17373170","PRJNA691727","GCA_016780145.1","Complete",5.44227,57.3,"chromosome:NZ_CP068798.1/CP068798.1",,1,5099,"2021-02-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/780/145/GCA_016780145.1_ASM1678014v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/780/145/GCF_016780145.1_ASM1678014v1"
