#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Klebsiella michiganensis","Bacteria;Proteobacteria;Gammaproteobacteria","AKKL-001","SAMN15755083","PRJNA655785","GCA_014217275.1","Complete",6.14959,55.8,"chromosome:NZ_CP060111.1/CP060111.1",,1,5582,"2020-08-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/217/275/GCA_014217275.1_ASM1421727v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/217/275/GCF_014217275.1_ASM1421727v1"
"Klebsiella grimontii","Bacteria;Proteobacteria;Gammaproteobacteria","M5a1","SAMN16423096","PRJNA668381","GCA_015074825.1","Complete",5.79878,55.9,"chromosome:NZ_CP063301.1/CP063301.1",,1,5289,"2020-10-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/074/825/GCA_015074825.1_ASM1507482v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/074/825/GCF_015074825.1_ASM1507482v1"
"Klebsiella grimontii","Bacteria;Proteobacteria;Gammaproteobacteria","NCTC9146 substr. serovar casular type 26 substr. serovar casular type 26","SAMEA3492648","PRJEB6403","GCA_901542455.1","Complete",5.76731,55.9,"chromosome 1:NZ_LR594038.1/LR594038.1",,1,5243,"2019-05-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/901/542/455/GCA_901542455.1_40345_E01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/901/542/455/GCF_901542455.1_40345_E01"
"Klebsiella michiganensis","Bacteria;Proteobacteria;Gammaproteobacteria","RC10","SAMN03431443","PRJNA278789","GCA_000963575.1","Complete",5.10763,54.9,"chromosome:NZ_CP011077.1/CP011077.1",,1,4596,"2015-03-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/963/575/GCA_000963575.1_ASM96357v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/963/575/GCF_000963575.1_ASM96357v1"
"Klebsiella michiganensis","Bacteria;Proteobacteria;Gammaproteobacteria","Biosolid 27","SAMN14258344","PRJNA609701","GCA_013283995.1","Complete",5.89121,56.1,"chromosome:CP054159.1",,1,4803,"2020-06-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/283/995/GCA_013283995.1_ASM1328399v1",
"Klebsiella huaxiensis","Bacteria;Proteobacteria;Gammaproteobacteria","WCHKl090001","SAMN08861555","PRJNA353728","GCA_003261575.2","Complete",6.30083,53.2572,"chromosome:NZ_CP036175.1/CP036175.1; plasmid p1_090001:NZ_CP036176.1/CP036176.1",,2,5676,"2019-02-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/261/575/GCA_003261575.2_ASM326157v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/261/575/GCF_003261575.2_ASM326157v2"
"Klebsiella michiganensis","Bacteria;Proteobacteria;Gammaproteobacteria","KNU07","SAMN12233455","PRJNA553277","GCA_007106885.1","Complete",6.2709,55.7765,"chromosome:NZ_CP041515.1/CP041515.1; plasmid unnamed:NZ_CP041514.1/CP041514.1",,2,5580,"2019-07-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/106/885/GCA_007106885.1_ASM710688v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/106/885/GCF_007106885.1_ASM710688v1"
"Klebsiella michiganensis","Bacteria;Proteobacteria;Gammaproteobacteria","RHB20-C02","SAMN15148174","PRJNA605147","GCA_013636415.1","Complete",6.23606,55.4918,"chromosome:NZ_CP058212.1/CP058212.1; plasmid pRHB20-C02_2:NZ_CP058213.1/CP058213.1",,2,5659,"2020-07-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/636/415/GCA_013636415.1_ASM1363641v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/636/415/GCF_013636415.1_ASM1363641v1"
"Klebsiella michiganensis","Bacteria;Proteobacteria;Gammaproteobacteria","THO-011","SAMD00196009","PRJDB9036","GCA_015139575.1","Complete",6.04184,55.9961,"chromosome:NZ_AP022547.1/AP022547.1; plasmid pTHO-011-1:NZ_AP022548.1/AP022548.1",,2,5485,"2020-10-08T23:22:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/139/575/GCA_015139575.1_ASM1513957v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/139/575/GCF_015139575.1_ASM1513957v1"
"Klebsiella michiganensis HKOPL1","Bacteria;Proteobacteria;Gammaproteobacteria","HKOPL1","SAMN03081460","PRJNA194061","GCA_000632415.1","Complete",5.91441,55.9,"chromosome:NZ_CP004887.1/CP004887.1",,1,5236,"2014-04-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/632/415/GCA_000632415.1_ASM63241v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/632/415/GCF_000632415.1_ASM63241v1"
"Klebsiella michiganensis","Bacteria;Proteobacteria;Gammaproteobacteria","7525","SAMN16931445","PRJNA681062","GCA_015999385.1","Complete",6.2448,55.2799,"chromosome:NZ_CP065474.1/CP065474.1; plasmid pKOX7525_1:NZ_CP065475.1/CP065475.1",,2,5743,"2020-12-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/999/385/GCA_015999385.1_ASM1599938v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/999/385/GCF_015999385.1_ASM1599938v1"
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","NCTC9178","SAMEA3368258","PRJEB6403","GCA_901421915.1","Complete",5.58728,57.3,"chromosome 1:LR588409.1",,1,6339,"2019-05-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/901/421/915/GCA_901421915.1_38344_C01",
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","BS359-3","SAMN16560599","PRJNA672205","GCA_015284345.1","Complete",5.17108,57.7,"chromosome:CP063892.1",,1,0,"2020-11-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/284/345/GCA_015284345.1_ASM1528434v1",
"Klebsiella africana","Bacteria;Proteobacteria;Gammaproteobacteria","FF1003","SAMN15547534","PRJNA646592","GCA_016804125.1","Complete",5.42225,56.9462,"chromosome:NZ_CP059391.1/CP059391.1; plasmid pFF1003_1:NZ_CP059392.1/CP059392.1; plasmid pFF1003_2:NZ_CP059393.1/CP059393.1",,3,4982,"2021-02-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/804/125/GCA_016804125.1_ASM1680412v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/804/125/GCF_016804125.1_ASM1680412v1"
"Klebsiella quasivariicola","Bacteria;Proteobacteria;Gammaproteobacteria","KPN1705","SAMN06438648","PRJNA376414","GCA_002269255.1","Complete",5.94671,56.6244,"chromosome:NZ_CP022823.1/CP022823.1; plasmid pKPN1705-1:NZ_CP022824.1/CP022824.1; plasmid pKPN1705-2:NZ_CP022825.1/CP022825.1; plasmid pKPN1705-3:NZ_CP022826.1/CP022826.1",,4,5596,"2017-08-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/269/255/GCA_002269255.1_ASM226925v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/269/255/GCF_002269255.1_ASM226925v1"
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","DSM 15968","SAMN01174581","PRJNA272370","GCA_000828055.2","Complete",5.5212,57.6,"chromosome:NZ_CP010523.2/CP010523.2",,1,5117,"2015-01-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/828/055/GCA_000828055.2_ASM82805v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/828/055/GCF_000828055.2_ASM82805v2"
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","NCTC9668","SAMEA3446337","PRJEB6403","GCA_900636185.1","Complete",5.76834,57.2,"chromosome 1:NZ_LR134235.1/LR134235.1",,1,5121,"2018-12-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/636/185/GCA_900636185.1_39282_B01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/636/185/GCF_900636185.1_39282_B01"
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","GN02","SAMN09667176","PRJNA481410","GCA_014217415.1","Complete",5.59937,57.4,"chromosome:NZ_CP031061.1/CP031061.1",,1,5197,"2020-08-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/217/415/GCA_014217415.1_ASM1421741v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/217/415/GCF_014217415.1_ASM1421741v1"
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","BS325-3-1","SAMN16560601","PRJNA672205","GCA_015284185.1","Complete",5.59879,57.2,"chromosome:NZ_CP063889.1/CP063889.1",,1,5116,"2020-11-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/284/185/GCA_015284185.1_ASM1528418v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/284/185/GCF_015284185.1_ASM1528418v1"
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","LEMB11","SAMN10574723","PRJNA541977","GCA_009648975.1","Complete",5.53665,57.5,"chromosome:NZ_CP045783.1/CP045783.1",,1,5146,"2019-11-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/648/975/GCA_009648975.1_ASM964897v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/648/975/GCF_009648975.1_ASM964897v1"
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","BM366-1","SAMN16560582","PRJNA672205","GCA_015288445.1","Complete",5.5193,57.3,"chromosome:NZ_CP063921.1/CP063921.1",,1,5083,"2020-11-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/288/445/GCA_015288445.1_ASM1528844v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/288/445/GCF_015288445.1_ASM1528844v1"
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","BS325-2","SAMN16560590","PRJNA672205","GCA_015286965.1","Complete",5.51905,57.3,"chromosome:NZ_CP063910.1/CP063910.1",,1,5085,"2020-11-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/286/965/GCA_015286965.1_ASM1528696v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/286/965/GCF_015286965.1_ASM1528696v1"
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","BS369-2","SAMN16560574","PRJNA672205","GCA_015289325.1","Complete",5.51839,57.3,"chromosome:NZ_CP063933.1/CP063933.1",,1,5078,"2020-11-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/289/325/GCA_015289325.1_ASM1528932v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/289/325/GCF_015289325.1_ASM1528932v1"
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","BS327-2-1","SAMN16560585","PRJNA672205","GCA_015287425.1","Complete",5.51824,57.3,"chromosome:NZ_CP063916.1/CP063916.1",,1,5087,"2020-11-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/287/425/GCA_015287425.1_ASM1528742v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/287/425/GCF_015287425.1_ASM1528742v1"
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","BS375-3","SAMN16560575","PRJNA672205","GCA_015285645.1","Complete",5.51709,57.3,"chromosome:NZ_CP063932.1/CP063932.1",,1,5069,"2020-11-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/285/645/GCA_015285645.1_ASM1528564v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/285/645/GCF_015285645.1_ASM1528564v1"
"Klebsiella michiganensis","Bacteria;Proteobacteria;Gammaproteobacteria","F107","SAMN07411959","PRJNA395651","GCA_009930855.1","Complete",6.15254,55.3669,"chromosome:NZ_CP024643.1/CP024643.1; plasmid unnamed1:NZ_CP024641.1/CP024641.1; plasmid unnamed2:NZ_CP024642.1/CP024642.1",,3,5586,"2020-01-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/930/855/GCA_009930855.1_ASM993085v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/930/855/GCF_009930855.1_ASM993085v1"
